,Country,Year,Expenditure_per_Visitor
1963,ROMANIA,2003,73.72633523164538
1964,ROMANIA,2004,77.30923694779116
1965,ROMANIA,2005,129.27170868347338
1966,ROMANIA,2006,146.86728048506626
1967,ROMANIA,2007,140.34608378870675
1968,ROMANIA,2008,166.30966952264382
1969,ROMANIA,2009,125.30922118911542
1970,ROMANIA,2010,150.11462631820265
1971,ROMANIA,2011,179.68178493050476
1972,ROMANIA,2012,164.31966992555385
1973,ROMANIA,2013,176.43435410066877
1974,ROMANIA,2014,203.67509553622244
1975,ROMANIA,2015,170.52904406159476
1976,ROMANIA,2016,159.22619047619048
1977,ROMANIA,2017,219.36550894602314
1978,ROMANIA,2018,253.24397547411948
1979,ROMANIA,2019,259.94970952917714
1980,ROMANIA,2020,323.7644584647739
1981,ROMANIA,2021,447.47917203469893
1982,ROMANIA,2022,447.6107732406603
1983,RUSSIAN FEDERATION,1995,543.8135871348868
1984,RUSSIAN FEDERATION,1996,816.557911908646
1985,RUSSIAN FEDERATION,1997,904.3999284564478
1986,RUSSIAN FEDERATION,1998,815.890926187118
1987,RUSSIAN FEDERATION,1999,561.8715857810149
1988,RUSSIAN FEDERATION,2000,481.62865385662184
1989,RUSSIAN FEDERATION,2001,514.9750415973377
1990,RUSSIAN FEDERATION,2002,534.4625024476209
1991,RUSSIAN FEDERATION,2003,626.0937196188995
1992,RUSSIAN FEDERATION,2004,623.6993512057779
1993,RUSSIAN FEDERATION,2005,597.2691441441441
1994,RUSSIAN FEDERATION,2006,600.6802487374171
1995,RUSSIAN FEDERATION,2007,595.7124106752224
1996,RUSSIAN FEDERATION,2008,634.1069571405112
1997,RUSSIAN FEDERATION,2009,613.2279145757965
1998,RUSSIAN FEDERATION,2010,678.8139256923429
1999,RUSSIAN FEDERATION,2011,752.4584915153456
2000,RUSSIAN FEDERATION,2012,895.1122079769101
2001,RUSSIAN FEDERATION,2013,988.607150122991
2002,RUSSIAN FEDERATION,2014,1098.9125934319773
2003,RUSSIAN FEDERATION,2015,1011.0564399421129
2004,RUSSIAN FEDERATION,2016,756.5621150383777
2005,RUSSIAN FEDERATION,2017,783.7189936662545
2006,RUSSIAN FEDERATION,2018,816.6761986464588
2007,RUSSIAN FEDERATION,2019,797.5292300904479
2008,RUSSIAN FEDERATION,2020,739.8268748483132
2028,SAUDI ARABIA,2002,933.3839918946302
2029,SAUDI ARABIA,2003,1014.8635477582847
2030,SAUDI ARABIA,2004,1045.819555975437
2031,SAUDI ARABIA,2005,1814.1345577959673
2032,SAUDI ARABIA,2006,2778.6341254549347
2033,SAUDI ARABIA,2007,4187.253477268009
2034,SAUDI ARABIA,2008,3215.5154091392137
2035,SAUDI ARABIA,2009,3157.414566259471
2036,SAUDI ARABIA,2010,1134.765100671141
2037,SAUDI ARABIA,2011,1088.622754491018
2038,SAUDI ARABIA,2012,423.78451044337675
2039,SAUDI ARABIA,2013,783.6698469048147
2040,SAUDI ARABIA,2014,540.2172695710606
2041,SAUDI ARABIA,2015,772.1721082461883
2042,SAUDI ARABIA,2016,603.1573611412847
2043,SAUDI ARABIA,2017,610.5468206483929
2044,SAUDI ARABIA,2018,607.1467639015497
2045,SAUDI ARABIA,2019,556.699514634505
2046,SAUDI ARABIA,2020,664.1381900112655
2047,SAUDI ARABIA,2021,1140.2884435287508
2048,SAUDI ARABIA,2022,327.9411461660519
2116,SINGAPORE,1995,1626.4387861876526
2117,SINGAPORE,1996,1517.3978819969743
2118,SINGAPORE,1997,1187.1424679923728
2119,SINGAPORE,1998,860.3471295060081
2120,SINGAPORE,1999,1061.9491312012087
2121,SINGAPORE,2000,1020.4770477047705
2122,SINGAPORE,2001,1512.720605088242
2123,SINGAPORE,2002,1866.7879063423504
2124,SINGAPORE,2003,1985.7853589196873
2125,SINGAPORE,2004,1798.838334946757
2126,SINGAPORE,2005,1951.928668346579
2127,SINGAPORE,2006,2036.508223386951
2128,SINGAPORE,2007,2241.533864541833
2129,SINGAPORE,2008,2393.087287639133
2130,SINGAPORE,2009,2255.9977014796723
2131,SINGAPORE,2010,2546.989921002452
2132,SINGAPORE,2011,2762.801496195021
2133,SINGAPORE,2012,2875.124254473161
2134,SINGAPORE,2013,2822.5974326355963
2135,SINGAPORE,2014,2869.482197012243
2136,SINGAPORE,2015,2592.5479452054797
2137,SINGAPORE,2016,2526.071353177116
2138,SINGAPORE,2017,2512.2863788047325
2139,SINGAPORE,2018,2553.093081518597
2140,SINGAPORE,2019,2525.2544113528147
2141,SINGAPORE,2020,4594.944912508101
2142,SINGAPORE,2021,4968.787515006003
2143,SINGAPORE,2022,2966.239813736903
2144,SLOVAKIA,2005,282.55775025108807
2145,SLOVAKIA,2006,336.61479834868214
2146,SLOVAKIA,2007,425.4787676935887
2147,SLOVAKIA,2008,608.1998370893293
2148,SLOVAKIA,2009,650.1547987616099
2149,SLOVAKIA,2010,722.1396731054978
2150,SLOVAKIA,2011,665.7534246575342
2151,SLOVAKIA,2012,795.8348828560803
2152,SLOVAKIA,2013,1111.7895725692813
2153,SLOVAKIA,2014,1009.1438071487947
2154,SLOVAKIA,2015,765.5743608210299
2155,SLOVAKIA,2016,723.7479806138933
2156,SLOVAKIA,2017,622.9974160206718
2157,SLOVAKIA,2018,562.4195624195625
2158,SLOVAKIA,2019,496.16417337936326
2159,SLOVAKIA,2020,1364.942528735632
2160,SLOVAKIA,2021,949.4238156209988
2161,SLOVENIA,2000,260.05089058524175
2162,SLOVENIA,2001,256.93430656934305
2163,SLOVENIA,2002,285.8486130700517
2164,SLOVENIA,2003,356.1967833491012
2165,SLOVENIA,2004,310.0
2166,SLOVENIA,2005,141.0332541567696
2167,SLOVENIA,2006,143.08776049310242
2168,SLOVENIA,2007,205.42287663853475
2169,SLOVENIA,2008,247.35883424408016
2170,SLOVENIA,2009,285.73991031390136
2171,SLOVENIA,2010,276.96629213483146
2172,SLOVENIA,2011,306.5247388133254
2173,SLOVENIA,2012,304.3673012318029
2174,SLOVENIA,2013,319.14414414414415
2175,SLOVENIA,2014,318.4931506849315
2176,SLOVENIA,2015,250.76390303524138
2177,SLOVENIA,2016,274.4082840236686
2178,SLOVENIA,2016,241.30917159763314
2179,SLOVENIA,2017,278.37338262476896
2180,SLOVENIA,2018,322.24070992789797
2181,SLOVENIA,2019,277.40122334270126
2182,SLOVENIA,2020,484.6723044397463
2183,SLOVENIA,2021,456.1056105610561
2184,SLOVENIA,2022,380.7911994922784
2185,SPAIN,1995,1244.2434210526317
2186,SPAIN,1996,1197.2064393939395
2187,SPAIN,1997,1176.1306532663316
2188,SPAIN,1998,1103.0454735085523
2189,SPAIN,1999,1678.8860471724922
2190,SPAIN,2000,1455.8536585365853
2191,SPAIN,2001,1590.7223967141822
2192,SPAIN,2002,1904.4174631878068
2193,SPAIN,2003,2240.351734245237
2194,SPAIN,2004,2400.898262058192
2195,SPAIN,2005,1449.6368501529053
2196,SPAIN,2006,1576.1378535306237
2197,SPAIN,2007,1563.1442284994885
2198,SPAIN,2008,1575.1418494095997
2199,SPAIN,2009,1246.6191653337212
2200,SPAIN,2010,1187.4561526589027
2201,SPAIN,2011,1090.5042649272455
2202,SPAIN,2012,1032.1131670689192
2203,SPAIN,2013,1223.2395414619623
2204,SPAIN,2014,1288.4174311926606
2205,SPAIN,2015,988.8794326241135
2206,SPAIN,2016,1028.7793401542922
2207,SPAIN,2017,1102.1998618920786
2208,SPAIN,2018,1181.3613317180418
2209,SPAIN,2019,1215.1998597475456
2210,SPAIN,2020,1382.1359846055163
2211,SPAIN,2021,1431.8341531974702
2212,SPAIN,2022,1153.6185832465897
2213,SRI LANKA,1995,369.04761904761904
2215,SRI LANKA,1997,338.9830508474576
2216,SRI LANKA,1998,389.96138996138995
2218,SRI LANKA,2000,458.01526717557255
2219,SRI LANKA,2001,495.0495049504951
2220,SRI LANKA,2002,493.43339587242025
2221,SRI LANKA,2003,497.32620320855614
2222,SRI LANKA,2004,435.29411764705884
2223,SRI LANKA,2005,431.91196698762036
2224,SRI LANKA,2006,492.7344782034346
2225,SRI LANKA,2007,455.91647331786544
2226,SRI LANKA,2008,443.064182194617
2227,SRI LANKA,2009,426.791277258567
2228,SRI LANKA,2010,403.7433155080214
2229,SRI LANKA,2011,404.3583535108959
2230,SRI LANKA,2012,559.4956658786446
2231,SRI LANKA,2013,941.3629160063391
2232,SRI LANKA,2014,963.3867276887872
2233,SRI LANKA,2015,1047.197640117994
2234,SRI LANKA,2016,1064.9171270718232
2235,SRI LANKA,2017,1111.1883252258513
2236,SRI LANKA,2018,1124.6612466124661
2237,SRI LANKA,2019,1136.7106176266482
2240,SRI LANKA,2022,216.31205673758865
2242,SWEDEN,1995,537.9678088278858
2243,SWEDEN,1996,601.8286814244466
2244,SWEDEN,1997,602.5143279718986
2245,SWEDEN,1998,675.8010856242339
2246,SWEDEN,1999,764.0
2247,SWEDEN,2000,793.1408298019119
2248,SWEDEN,2001,644.3534121590169
2249,SWEDEN,2002,566.495965238982
2250,SWEDEN,2003,655.8621234880228
2251,SWEDEN,2004,728.673835125448
2252,SWEDEN,2005,638.7701728647063
2253,SWEDEN,2006,784.457361254877
2254,SWEDEN,2007,931.4528837062717
2255,SWEDEN,2008,963.4339026408848
2256,SWEDEN,2009,901.9574322591675
2257,SWEDEN,2010,929.7653734089863
2258,SWEDEN,2011,955.4296635041977
2259,SWEDEN,2012,897.4787754051968
2260,SWEDEN,2013,889.1122699001068
2261,SWEDEN,2017,680.9366665159803
2262,SWEDEN,2018,787.6021866693414
2263,SWEDEN,2019,752.7936624521274
2264,SWEDEN,2020,1009.8667982239763
2265,SWEDEN,2021,1098.6211424819435
2266,SWITZERLAND,1995,665.5902404018658
2267,SWITZERLAND,1996,632.2858801094436
2268,SWITZERLAND,1997,558.2900519376748
2269,SWITZERLAND,1998,573.0384324278866
2270,SWITZERLAND,1999,488.10833685992384
2271,SWITZERLAND,2000,469.44444444444446
2272,SWITZERLAND,2001,471.7846633200623
2273,SWITZERLAND,2002,511.1577841953269
2274,SWITZERLAND,2003,224.0499323576436
2275,SWITZERLAND,2008,658.585626472109
2276,SWITZERLAND,2009,697.7968768914175
2277,SWITZERLAND,2010,371.1680553372111
2278,SWITZERLAND,2011,766.9534012348937
2279,SWITZERLAND,2012,394.5299987680177
2280,SWITZERLAND,2013,838.5460276806383
2281,SWITZERLAND,2014,448.1558978495979
2282,SWITZERLAND,2015,389.46867996287324
2283,SWITZERLAND,2016,818.1649331352155
2284,SWITZERLAND,2017,849.8287442729415
2285,SWITZERLAND,2018,776.3307830050464
2286,SWITZERLAND,2019,952.3160074758802
2287,SWITZERLAND,2020,654.5893719806763
2288,SWITZERLAND,2021,1147.3829201101928
2289,SWITZERLAND,2022,1044.6169380285246
2290,SYRIAN ARAB REPUBLIC,1995,285.2233676975945
2291,SYRIAN ARAB REPUBLIC,1996,274.1849278460716
2292,SYRIAN ARAB REPUBLIC,1997,237.05959112657678
2293,SYRIAN ARAB REPUBLIC,1998,241.80837826627956
2294,SYRIAN ARAB REPUBLIC,1999,210.7548430193721
2295,SYRIAN ARAB REPUBLIC,2000,173.18146518250066
2296,SYRIAN ARAB REPUBLIC,2001,191.86712485681556
2297,SYRIAN ARAB REPUBLIC,2002,230.37284025462262
2298,SYRIAN ARAB REPUBLIC,2003,175.13134851138355
2299,SYRIAN ARAB REPUBLIC,2004,150.84706428405661
2300,SYRIAN ARAB REPUBLIC,2005,120.50832602979843
2301,SYRIAN ARAB REPUBLIC,2006,133.59722909450767
2302,SYRIAN ARAB REPUBLIC,2007,153.71782650142993
2303,SYRIAN ARAB REPUBLIC,2008,152.29392727964972
2304,SYRIAN ARAB REPUBLIC,2009,169.1275167785235
